cq	status	rows
cq01	answered	20
cq02	answered	20
cq03	empty	0
cq04	answered	20
cq05	empty	0
cq06	answered	20
cq07	answered	20
cq08	answered	20
cq09	answered	8
cq10	answered	12
cq11	answered	20
cq12	answered	20
cq13	answered	20
cq14	answered	20
cq15	answered	5
cq16	answered	15
cq17	empty	0
cq18	empty	0
cq19	empty	0
cq20	empty	0
cq21	empty	0
cq22	empty	0
cq23	empty	0
cq24	empty	0
cq25	empty	0
cq26	empty	0
cq27	empty	0
cq28	empty	0
cq29	empty	0
cq30	empty	0
cq31	empty	0
cq32	empty	0
cq33	empty	0
cq34	answered	12
cq35	empty	0
